GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,22,44,6,2,7,13,6,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,142,3,6,0,29,1,11,1,8,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,41,64,6,2,13,18,6,6,2,6
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,22,43,6,2,7,13,6,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,22,43,6,2,7,13,6,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,22,43,6,2,7,13,6,5,2,5
spring-boot-skeleton,com.nnk.springboot.services,CustomUserDetailsService,0,44,0,2,0,9,0,3,0,2
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,38,1,1,0,9,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,34,1,1,0,9,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,34,1,1,0,9,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,38,1,1,0,9,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,38,1,1,0,9,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.security,ConfigurationSecurity,0,90,0,0,0,18,0,3,0,3
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,56,0,0,0,24,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,CustomUserDetails,28,0,0,0,11,0,9,0,9,0
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,8,68,0,0,4,28,2,14,2,14
spring-boot-skeleton,com.nnk.springboot.domain,BidList,0,56,0,0,0,24,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,Trade,0,144,0,0,0,62,0,38,0,38
spring-boot-skeleton,com.nnk.springboot.domain,User,0,38,0,0,0,16,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,0,46,0,0,0,20,0,10,0,10
